mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
53475.99005,-11.02851,0.01783,-10.37035,0.01783,-10.36449,0.01783,-10.21376,0.01783,Euler
53558.42136,-11.12964,0.01036,-10.44675,0.01036,-10.47943,0.01036,-10.32276,0.01036,Euler
53586.36046,-11.14719,0.01212,-10.45051,0.01212,-10.48942,0.01212,-10.34976,0.01212,Euler
53592.40796,-11.16374,0.01409,-10.45876,0.01409,-10.50072,0.01409,-10.32547,0.01409,Euler
53601.38426,-11.17877,0.01064,-10.47798,0.01064,-10.53729,0.01064,-10.32871,0.01064,Euler
53602.39263,-11.18832,0.01540,-10.44696,0.01540,-10.48749,0.01540,-10.33312,0.01540,Euler
53603.39065,-11.16988,0.01247,-10.48567,0.01247,-10.50258,0.01247,-10.32643,0.01247,Euler
53607.39197,-11.18800,0.01290,-10.50132,0.01290,-10.52989,0.01290,-10.35219,0.01290,Euler
53608.39039,-11.20059,0.01281,-10.49321,0.01281,-10.53324,0.01281,-10.35929,0.01281,Euler
53614.20219,-11.20944,0.01038,-10.48907,0.01038,-10.55008,0.01038,-10.36319,0.01038,Mercator
53617.20534,-11.21105,0.00817,-10.48440,0.00817,-10.51543,0.00817,-10.36816,0.00817,Mercator
53618.22093,-11.17781,0.00623,-10.52117,0.00623,-10.56938,0.00623,-10.37851,0.00623,Mercator
53622.49500,-11.23871,0.01540,-10.52461,0.02070,-10.59051,0.02110,-10.41491,0.01830,Maidanak
53624.49500,-11.23711,0.01110,-10.54311,0.01560,-10.57381,0.01060,-10.41211,0.01560,Maidanak
53625.22527,-11.21892,0.00927,-10.52415,0.00927,-10.55392,0.00927,-10.39099,0.00927,Mercator
53626.49900,-11.23111,0.01380,-10.51461,0.02870,-10.56171,0.01580,-10.41411,0.01630,Maidanak
53640.38092,-11.25456,0.01282,-10.55733,0.01282,-10.59906,0.01282,-10.44153,0.01282,Euler
53647.23587,-11.25476,0.00526,-10.56963,0.00526,-10.57165,0.00526,-10.42867,0.00526,Mercator
53648.20486,-11.25245,0.00592,-10.54151,0.00592,-10.57490,0.00592,-10.43752,0.00592,Mercator
53650.30718,-11.25704,0.01306,-10.56001,0.01306,-10.59830,0.01306,-10.45275,0.01306,Euler
53654.20149,-11.25459,0.00596,-10.52532,0.00596,-10.58562,0.00596,-10.43636,0.00596,Mercator
53654.26041,-11.23103,0.01473,-10.55696,0.01473,-10.57276,0.01473,-10.43730,0.01473,Euler
53655.21596,-11.24950,0.00858,-10.54679,0.00858,-10.57451,0.00858,-10.43317,0.00858,Mercator
53656.21407,-11.24339,0.00760,-10.52010,0.00760,-10.58468,0.00760,-10.43096,0.00760,Mercator
53657.16608,-11.25005,0.00881,-10.53592,0.00881,-10.58778,0.00881,-10.43197,0.00881,Mercator
53659.46800,-11.28671,0.04340,-10.60951,0.04320,-10.63211,0.04410,-10.48221,0.04450,Maidanak
53661.20218,-11.24054,0.01605,-10.51906,0.01605,-10.59128,0.01605,-10.40210,0.01605,Mercator
53662.20779,-11.23928,0.00885,-10.51508,0.00885,-10.59850,0.00885,-10.42334,0.00885,Mercator
53662.41400,-11.25611,0.01600,-10.56541,0.02530,-10.60621,0.01720,-10.48521,0.01950,Maidanak
53663.20306,-11.23690,0.00969,-10.54033,0.00969,-10.56293,0.00969,-10.43204,0.00969,Mercator
53664.17998,-11.23118,0.00680,-10.52226,0.00680,-10.57674,0.00680,-10.43107,0.00680,Mercator
53665.17478,-11.23819,0.00919,-10.53031,0.00919,-10.56722,0.00919,-10.42724,0.00919,Mercator
53666.20623,-11.24803,0.00791,-10.54439,0.00791,-10.56640,0.00791,-10.42844,0.00791,Mercator
53667.15403,-11.25396,0.00723,-10.51891,0.00723,-10.58795,0.00723,-10.44625,0.00723,Mercator
53668.31061,-11.23941,0.01445,-10.53617,0.01445,-10.58419,0.01445,-10.43781,0.01445,Euler
53669.41700,-11.25511,0.03280,-10.50931,0.03010,-10.56661,0.01600,-10.44501,0.01630,Maidanak
53672.30055,-11.24636,0.01254,-10.53542,0.01254,-10.60328,0.01254,-10.43194,0.01254,Euler
